FID,Planet,planet_norm,Region,Sector,System,Grid,X,Y,arcgis_hash,deleted,Canon,Legends,zm,name0,name1,name2,lat,long,ref,status,CRegion,CRegion_li
1,Prakith,prakith,Deep Core, ,Prakith system,K-10,-668.68,-1332.3,8fec195bcdf4537ea78795c9815ce750df2864d3688261de154b5fd4263834f5,0,1,1,1,prakith, , ,-11.8821128322,-6.00684589675, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
2,Keeara Major,keeara major,Deep Core, , ,K-10,-110.05,-875.28,01d73060bb163b82b47012b08bc83efb3651c16427bbd9b0dd69420b605e4d8b,0,0,1,2,keeara major, , ,-7.83822507761,-0.988597463174, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
3,Symbia,symbia,Deep Core, , ,K-10,-152.78,-778.16,40c5515f5b08b02897a884a18eaff33b9c329dd2ca694cb878e396090c80fdc7,0,0,1,2,symbia, , ,-6.97309554787,-1.3724602117, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
4,Kuar,kuar,Deep Core, ,Kuar system,K-10,-28.47,-678.46,bfb091060be4636a8fb26cafb2e2932f6d0a1ef11e6d6b4dd22d133ed0d122ac,0,0,1,2,kuar, , ,-6.08323248702,-0.255768581019, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
5,Odik II,odik ii,Deep Core,Deep Core Security Zone,Odik system,K-11,-1152.75,-1646.85,a8d2660f3bc4340a590b702feb9728b378e4bca7c6d7991251d3ec5d1b8e289b,0,0,1,2,odik, , ,-14.6321740022,-10.3553516728, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
6,Byss,byss,Deep Core,Deep Core Security Zone,Beshqek system,K-11,-721.11,-2731.02,c1cc7de718e088820870c103473d227640117ee61073016383fe8fef27c81583,0,1,1,0,byss, , ,-23.8161442091,-6.47779460328, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
7,Kalist VI,kalist vi,Deep Core, ,Kalist system,K-12,-204.62,-3034.84,49436c198a8cc15ad1ec3ec87e95ef89711f4d6ab4ed2c18e59dc478622d2aa0,0,1,1,1,kalist, , ,-26.2883650315,-1.83816059741, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
8,Zamael,zamael,Deep Core, , ,K-12,-201.17,-3198.86,9eaf8e13aa29343e677833846a2da4f1271f895fd20482bb5b9220812c72f64f,0,0,1,2,zamael, , ,-27.6017822705,-1.80714138527, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
9,Lialic,lialic,Deep Core, , ,K-12,-249.51,-3402.59,abbe37c9966255f36df04d3f6d441a0e9c4cbb5fe1598a2cede0629c74cfe536,0,0,1,2,lialic, , ,-29.2114719875,-2.24141035341, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
10,Constancia,constancia,Deep Core, , ,K-12,-210.88,-3632.69,1c2b4eec87929fcbd77b6bab8b235251dae7d1e772eba9d63408e26ca3999446,0,1,1,2,constancia, , ,-30.9995106782,-1.89440685362, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
11,Dulvoyinn,dulvoyinn,Deep Core, , ,K-12,-51.61,-3703.9,2d7423ee4517cad7916b65ebd91f7bac811711744c7170ecaf556a0a3aba1b21,0,0,1,2,dulvoyinn, , ,-31.5463223135,-0.463645702403, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
12,Tython,tython,Deep Core, ,Tython system,L-10,19.19,-1173.87,a12a0111b92b6064f4d3b4778fb977f8440fbc929b2ec107d1122a1e78465a11,0,1,1,0,tython,kalimahr, ,-10.4860557477,0.172397069581, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
13,Had Abbadon,had abbadon,Deep Core, , ,L-10,1115.53,-1182.51,9b41836d5f9fd15d23a51d69054924c8d1d60cca219204e01f169d25e652b578,0,0,1,2,had abbadon, , ,-10.5622992525,10.0209968672, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
14,Cambria,cambria,Core Worlds, , ,L-10,1396.66,-876.72,7dea9458645107ec7edad44a96d5731cc7b13c08eb214516c62492f757fca573,0,0,1,2,cambria, , ,-7.85102879829,12.5464418059, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
15,Vulpter,vulpter,Deep Core, ,Vulpter system,L-10,876.1,-735.67,0dbc9f17235c15f815179202a71f5d2d0ed2edfc34ae6e81099946090b8219b4,0,1,1,1,vulpter, , ,-6.59405981021,7.87011609339, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
16,Besero,besero,Deep Core, , ,L-10,744.02,-572.52,eb0aa9400eec6135176c7f549ecd8e74727b75b5a11717f7963de591f4b94fbd,0,0,1,2,besero, , ,-5.13611453569,6.68363123563, ,d,The Interior,https://starwars.fandom.com/wiki/The_Interior
17,Primus Goluud,primus goluud,Deep Core, , ,L-10,547.2,-541.44,458871ddcf83bd4e33559142bc69889fde95329a605007a5df7bf8bf9df51025,0,0,1,2,primus goluud, , ,-4.85800299397,4.91553615365, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
18,Empress Teta,empress teta,Deep Core, ,Empress Teta system,L-10,29.8,-782.05,e268edf7605b2453c3f1570f521a305f0c79f89afd32b3c6a00c19fdab25f41b,0,1,1,0,empress teta,koros major, ,-7.00773275829,0.267680620776, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
